Origin,Destination,Hour,Travel_Time_min,Toll_AED,Gate_Count
Marina,Qusais,8,26.948009891469724,24,4
Marina,Qusais,8,26.688031747621494,24,4
Marina,Qusais,8,26.92927600193108,24,4
Marina,Qusais,8,26.451202421280232,24,4
Marina,Qusais,14,25.480182062690453,16,4
Marina,Qusais,14,25.487738420608693,16,4
Marina,Qusais,14,25.490383393253566,16,4
Marina,Qusais,14,25.497939751171806,16,4
Marina,Qusais,14,25.499590098264754,16,4
Marina,Qusais,14,25.501573173263903,16,4
Marina,Qusais,14,25.505178362844585,16,4
Marina,Qusais,14,25.50714645618299,16,4
Marina,Qusais,14,26.44372731170678,16,4
Marina,Qusais,14,26.424993422168136,16,4
Marina,Qusais,14,26.947224473869763,16,4
Marina,Qusais,14,26.92849058433112,16,4
Marina,Qusais,14,26.948009891469724,16,4
Marina,Qusais,14,26.688031747621494,16,4
Marina,Qusais,14,26.92927600193108,16,4
Marina,Qusais,14,26.451202421280232,16,4
Marina,Qusais,18,25.480182062690453,24,4
Marina,Qusais,18,25.487738420608693,24,4
Marina,Qusais,18,25.490383393253566,24,4
Marina,Qusais,18,25.497939751171806,24,4
Marina,Qusais,18,25.499590098264754,24,4
Marina,Qusais,18,25.501573173263903,24,4
Marina,Qusais,18,25.505178362844585,24,4
Marina,Qusais,18,25.50714645618299,24,4
Marina,Qusais,18,26.44372731170678,24,4
Marina,Qusais,18,26.424993422168136,24,4
Marina,Qusais,18,26.947224473869763,24,4
Marina,Qusais,18,26.92849058433112,24,4
Marina,Qusais,18,26.948009891469724,24,4
Marina,Qusais,18,26.688031747621494,24,4
Marina,Qusais,18,26.92927600193108,24,4
Marina,Qusais,18,26.451202421280232,24,4
Marina,Deira,8,22.458483023629377,24,4
Marina,Deira,8,22.477891059203678,24,4
Marina,Deira,8,22.479874134202827,24,4
Marina,Deira,8,22.499282169777132,24,4
Marina,Deira,8,22.503411836490905,24,4
Marina,Deira,8,22.506694393858258,24,4
Marina,Deira,8,22.506749810817475,24,4
Marina,Deira,8,22.50822196915325,24,4
Marina,Deira,8,28.122563652540194,0,0
Marina,Deira,8,28.596509893366466,0,0
Marina,Deira,8,28.337009918175287,0,0
Marina,Deira,8,28.82226587181795,0,0
Marina,Deira,8,28.322294038081154,0,0
Marina,Deira,8,28.339286161224656,0,0
Marina,Deira,8,29.11378064981322,0,0
Marina,Deira,8,28.810956159001556,0,0
Marina,Deira,14,22.458483023629377,16,4
Marina,Deira,14,22.477891059203678,16,4
Marina,Deira,14,22.479874134202827,16,4
Marina,Deira,14,22.499282169777132,16,4
Marina,Deira,14,22.503411836490905,16,4
Marina,Deira,14,22.506694393858258,16,4
Marina,Deira,14,22.506749810817475,16,4
Marina,Deira,14,22.50822196915325,16,4
Marina,Deira,14,28.122563652540194,0,0
Marina,Deira,14,28.596509893366466,0,0
Marina,Deira,14,28.337009918175287,0,0
Marina,Deira,14,28.82226587181795,0,0
Marina,Deira,14,28.322294038081154,0,0
Marina,Deira,14,28.339286161224656,0,0
Marina,Deira,14,29.11378064981322,0,0
Marina,Deira,14,28.810956159001556,0,0
Marina,Deira,18,22.458483023629377,24,4
Marina,Deira,18,22.477891059203678,24,4
Marina,Deira,18,22.479874134202827,24,4
Marina,Deira,18,22.499282169777132,24,4
Marina,Deira,18,22.503411836490905,24,4
Marina,Deira,18,22.506694393858258,24,4
Marina,Deira,18,22.506749810817475,24,4
Marina,Deira,18,22.50822196915325,24,4
Marina,Deira,18,28.122563652540194,0,0
Marina,Deira,18,28.596509893366466,0,0
Marina,Deira,18,28.337009918175287,0,0
Marina,Deira,18,28.82226587181795,0,0
Marina,Deira,18,28.322294038081154,0,0
Marina,Deira,18,28.339286161224656,0,0
Marina,Deira,18,29.11378064981322,0,0
Marina,Deira,18,28.810956159001556,0,0
Marina,JebelAli,8,16.781930762303176,6,1
Marina,JebelAli,8,16.79199285990607,6,1
Marina,JebelAli,8,16.803321872876626,6,1
Marina,JebelAli,8,16.825729122602024,6,1
Marina,JebelAli,8,16.813383970479517,6,1
Marina,JebelAli,8,16.835791220204918,6,1
Marina,JebelAli,8,16.824273071528143,6,1
Marina,JebelAli,8,16.824766454535826,6,1
Marina,JebelAli,8,17.508242787827363,6,1
Marina,JebelAli,8,17.49818069022447,6,1
Marina,JebelAli,14,16.781930762303176,4,1
Marina,JebelAli,14,16.79199285990607,4,1
Marina,JebelAli,14,16.803321872876626,4,1
Marina,JebelAli,14,16.825729122602024,4,1
Marina,JebelAli,14,16.813383970479517,4,1
Marina,JebelAli,14,16.835791220204918,4,1
Marina,JebelAli,14,16.824273071528143,4,1
Marina,JebelAli,14,16.824766454535826,4,1
Marina,JebelAli,14,17.508242787827363,4,1
Marina,JebelAli,14,17.49818069022447,4,1
Marina,JebelAli,18,16.781930762303176,6,1
Marina,JebelAli,18,16.79199285990607,6,1
Marina,JebelAli,18,16.803321872876626,6,1
Marina,JebelAli,18,16.825729122602024,6,1
Marina,JebelAli,18,16.813383970479517,6,1
Marina,JebelAli,18,16.835791220204918,6,1
Marina,JebelAli,18,16.824273071528143,6,1
Marina,JebelAli,18,16.824766454535826,6,1
Marina,JebelAli,18,17.508242787827363,6,1
Marina,JebelAli,18,17.49818069022447,6,1
JLT,Downtown,8,14.859370689793735,12,2
JLT,Downtown,8,14.870667634880549,12,2
JLT,Downtown,8,14.875180310391196,12,2
JLT,Downtown,8,14.875274027647267,12,2
JLT,Downtown,8,14.87923355442428,12,2
JLT,Downtown,8,14.882493786121945,12,2
JLT,Downtown,8,14.88647725547801,12,2
JLT,Downtown,8,14.88657097273408,12,2
JLT,Downtown,8,14.93544594703737,12,2
JLT,Downtown,8,15.438943109200354,12,2
JLT,Downtown,8,15.010909500356743,12,2
JLT,Downtown,8,15.439728526800314,12,2
JLT,Downtown,8,15.514406662519725,12,2
JLT,Downtown,8,15.943225688963299,12,2
JLT,Downtown,8,15.676810540036724,12,2
JLT,Downtown,8,16.160382333796118,12,2
JLT,Downtown,14,14.859370689793735,8,2
JLT,Downtown,14,14.870667634880549,8,2
JLT,Downtown,14,14.875180310391196,8,2
JLT,Downtown,14,14.875274027647267,8,2
JLT,Downtown,14,14.87923355442428,8,2
JLT,Downtown,14,14.882493786121945,8,2
JLT,Downtown,14,14.88647725547801,8,2
JLT,Downtown,14,14.88657097273408,8,2
JLT,Downtown,14,14.93544594703737,8,2
JLT,Downtown,14,15.438943109200354,8,2
JLT,Downtown,14,15.010909500356743,8,2
JLT,Downtown,14,15.439728526800314,8,2
JLT,Downtown,14,15.514406662519725,8,2
